Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist Simulation,$67K - $131K (Glassdoor est.),4.0,"Optilogic
4.0","Ann Arbor, MI",1 to 50 Employees,Company - Private,Architectural & Engineering Services,Business Services,Unknown / Non-Applicable,-1
Research Scientist/Senior Research Scientist - Surgery and Efficacy Study Directors,$81K - $165K (Glassdoor est.),3.5,"Charles River Laboratories
3.5","Mattawan, MI",10000+ Employees,1947,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Data Scientists Analysts,$59K - $102K (Glassdoor est.),4.2,"Altair Engineering
4.2","Dearborn, MI",1001 to 5000 Employees,1985,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Laboratory Data Scientist/Machine Learning Software Engineer,$67K - $126K (Glassdoor est.),-1,Phenomics Health Inc.,"Plymouth, MI",-1,-1,-1,-1,-1,-1
Data Scientist/Data Engineer,$76K - $125K (Glassdoor est.),4.1,"Ford Motor Company
4.1","Dearborn, MI",10000+ Employees,1903,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
Machine Learning Engineer,$65K - $141K (Glassdoor est.),3.8,"Bodhala
3.8","Ann Arbor, MI",1 to 50 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Engineer,-1,3.8,"TEKsystems
3.8","Lansing, MI",1001 to 5000 Employees,1983,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD)
Senior Data Scientist,$77K - $125K (Glassdoor est.),3.9,"Digitas
3.9","Detroit, MI",5001 to 10000 Employees,1980,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Data Scientist for the Office of the General Counsel,-1,4.1,"Ford Motor Company
4.1",Michigan,10000+ Employees,1903,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
Machine learning engineer,$67K - $109K (Glassdoor est.),4.7,"SafeRide
4.7","Detroit, MI",51 to 200 Employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD)
Senior Scientist: Data Science/Bioinformatics,$90K - $145K (Glassdoor est.),3.8,"Zoetis US
3.8","Kalamazoo, MI",5001 to 10000 Employees,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 billion (USD)
Machine Learning Engineer,$95K - $167K (Glassdoor est.),4.3,"Square
4.3","Ann Arbor, MI",5001 to 10000 Employees,2009,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
Data Scientists Analyst,$60K - $102K (Glassdoor est.),3.2,"Optimal
3.2","Dearborn, MI",51 to 200 Employees,1986,Company - Private,Architectural & Engineering Services,Business Services,$25 to $50 million (USD)
Senior Data Scientist,$82K - $140K (Glassdoor est.),3.6,"Domino's
3.6","Ann Arbor, MI",10000+ Employees,1960,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$10+ billion (USD)
"Senior Scientist, Automation Engineer",-1,3.5,"Kelly
3.5","Troy, MI",5001 to 10000 Employees,1946,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD)
Junior Machine Learning Engineer,$71K - $115K (Glassdoor est.),4.2,"365 Retail Markets
4.2","Troy, MI",51 to 200 Employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD)
MRP Software Administrator/Data Scientist,-1,4.8,"Technique Inc.
4.8","Jackson, MI",51 to 200 Employees,Company - Private,Industrial Manufacturing,Manufacturing,$10 to $25 million (USD),-1
Data Scientist Retail Optimization,$53K - $103K (Glassdoor est.),3.6,"Luxottica
3.6","Milan, MI",10000+ Employees,1961,Company - Private,Consumer Products Manufacturing,Manufacturing,$5 to $10 billion (USD)
Data Engineer,$58K - $115K (Glassdoor est.),3.7,"Epitec
3.7","Dearborn, MI",1001 to 5000 Employees,1978,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Analyst,$48K - $95K (Glassdoor est.),5.0,"Continuum Services
5.0","Farmington Hills, MI",1 to 50 Employees,Company - Private,Building & Personnel Services,Business Services,Less than $1 million (USD),-1
Data Analyst 1,$31K - $55K (Glassdoor est.),3.5,"Applus+
3.5","Parma, MI",10000+ Employees,1996,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD)
Associate Scientist - ADME,$58K - $113K (Glassdoor est.),3.5,"Charles River Laboratories
3.5","Mattawan, MI",10000+ Employees,1947,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Data Analyst,$56K - $91K (Glassdoor est.),3.7,"Cognizant Technology Solutions
3.7","Detroit, MI",10000+ Employees,1994,Company - Public,Consulting,Business Services,$10+ billion (USD)
Data Analyst,-1,3.7,"May Mobility
3.7","Ann Arbor, MI",51 to 200 Employees,2017,Company - Private,Transportation Management,Transportation & Logistics,Unknown / Non-Applicable
Marketing Data Analyst - Part-time,$39K - $77K (Glassdoor est.),-1,MOTOR Information Systems,"Troy, MI",-1,-1,-1,-1,-1,-1
Dairy Data Scientist and Quantitative Geneticist,$67K - $115K (Glassdoor est.),3.8,"Zoetis
3.8","Kalamazoo, MI",5001 to 10000 Employees,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 billion (USD)
Data Scientist Analyst,$81K - $93K (Glassdoor est.),3.2,"Optimal
3.2","Dearborn, MI",51 to 200 Employees,1986,Company - Private,Architectural & Engineering Services,Business Services,$25 to $50 million (USD)
Senior Data Scientist,-1,-1,Trustpage,"Detroit, MI",-1,-1,-1,-1,-1,-1
AI/ML Scientist,-1,4.0,"General Motors
4.0",Michigan,10000+ Employees,1908,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
Data Analyst,$33K - $59K (Glassdoor est.),4.0,"Team Detroit
4.0","Dearborn, MI",1 to 50 Employees,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
Data Analyst,-1,3.6,"Johnson Service Group Inc.
3.6","Auburn Hills, MI",5001 to 10000 Employees,1984,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Senior Data Scientist - Pricing,-1,4.0,"StockX
4.0",Michigan,1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
"Food Scientist II - Jackson, MI",$72K - $101K (Glassdoor est.),3.3,"Dawn Foods
3.3","Jackson, MI",1001 to 5000 Employees,1920,Company - Private,Food & Beverage Manufacturing,Manufacturing,$1 to $2 billion (USD)
Remote Machine Learning Engineer,$57K - $105K (Glassdoor est.),5.0,"RIIS
5.0","Troy, MI",51 to 200 Employees,1999,Company - Private,IT Services,Information Technology,$5 to $10 million (USD)
PDI- Data Scientist (PHD Preferred)- w2 only,$39K - $69K (Glassdoor est.),4.1,"Serigor Inc.
4.1","Jackson, MI",1 to 50 Employees,Company - Private,IT Services,Information Technology,Less than $1 million (USD),-1
Sr Health Data Scientist - Precision Care - REMOTE,$86K - $137K (Glassdoor est.),3.8,"McKesson
3.8","Detroit, MI",10000+ Employees,1833,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD)
"Principal Data Scientist, ProServe",$101K - $179K (Glassdoor est.),3.8,"Amazon Web Services, Inc.
3.8","Detroit, MI",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
"Machine Learning Engineer, Mapping",$67K - $119K (Glassdoor est.),4.4,"TuSimple, Inc.
4.4","Detroit, MI",201 to 500 Employees,2015,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
People Scientist - Data Analysts,$48K - $88K (Glassdoor est.),4.2,"Altair Engineering
4.2","Dearborn, MI",1001 to 5000 Employees,1985,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Data Analyst,$42K - $84K (Glassdoor est.),3.9,"Apex Digital Solutions
3.9","Southfield, MI",1 to 50 Employees,1999,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Senior Data Scientist - ProServe,-1,3.8,"Amazon Web Services, Inc.
3.8",Michigan,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Science/Python Instructor,$64K - $115K (Glassdoor est.),-1,Global Information Technology,"Southfield, MI",51 to 200 Employees,1995,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
Data Analyst,$61K - $87K (Glassdoor est.),4.1,"Ford Motor Company
4.1","Dearborn, MI",10000+ Employees,1903,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
Machine Learning Engineer,-1,4.0,"StockX
4.0",Michigan,1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
LC-MS Scientist for a Toxicology Laboratory,-1,-1,Integrated Laboratory Providers (ILP),"Royal Oak, MI",-1,-1,-1,-1,-1,-1
Lead Data Scientist,$70K - $136K (Glassdoor est.),4.4,"SSI
4.4","Beverly Hills, MI",51 to 200 Employees,1998,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Sr Data Scientist - Inference and Analytics,-1,4.8,"Collage.com
4.8",Michigan,51 to 200 Employees,2011,Company - Private,Internet,Information Technology,$50 to $100 million (USD)
Data Analyst,$53K - $97K (Glassdoor est.),3.9,"ProQuest LLC
3.9","Ann Arbor, MI",1001 to 5000 Employees,2007,Company - Private,Internet,Information Technology,$500 million to $1 billion (USD)
Data Analyst,$48K - $96K (Glassdoor est.),4.0,"Amrock
4.0","Detroit, MI",1001 to 5000 Employees,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD)
Data Analyst,$48K - $108K (Glassdoor est.),3.3,"Flair IT Solutions
3.3","Novi, MI",1 to 50 Employees,Company - Private,IT Services,Information Technology,Less than $1 million (USD),-1
Data Analyst,$50K - $92K (Glassdoor est.),3.1,"Lincoln Electric
3.1","Macomb, MI",10000+ Employees,1895,Company - Public,Industrial Manufacturing,Manufacturing,$2 to $5 billion (USD)
Data Analyst,$49K - $81K (Glassdoor est.),3.2,"Beaumont Services Center
3.2","Southfield, MI",10000+ Employees,2014,Hospital,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
Data Analyst,$52K - $105K (Glassdoor est.),4.3,"T3W Business Solutions Inc
4.3","Detroit, MI",51 to 200 Employees,2004,Company - Private,Architectural & Engineering Services,Business Services,$5 to $10 million (USD)
Data Engineer,$53K - $99K (Glassdoor est.),2.5,"Synergy Solutions
2.5","Detroit, MI",1001 to 5000 Employees,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),-1
Data Analyst,-1,3.6,"Unified Tech Group Inc
3.6","Bloomfield Hills, MI",201 to 500 Employees,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
Procurement Data Analyst,$51K - $96K (Glassdoor est.),3.9,"KLA-Tencor
3.9","Ann Arbor, MI",5001 to 10000 Employees,1976,Company - Public,Industrial Manufacturing,Manufacturing,$2 to $5 billion (USD)
2nd Shift Associate Scientist - Immunochemistry,$58K - $113K (Glassdoor est.),3.5,"Charles River Laboratories
3.5","Mattawan, MI",10000+ Employees,1947,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Data Analyst,$43K - $82K (Glassdoor est.),4.3,"OneMagnify
4.3","Dearborn, MI",201 to 500 Employees,1967,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Junior Data Engineer,$44K - $97K (Glassdoor est.),4.6,"Afia Inc.
4.6","Ann Arbor, MI",1 to 50 Employees,2007,Company - Private,Consulting,Business Services,$5 to $10 million (USD)
Data Analyst,$41K - $74K (Glassdoor est.),3.2,"Afia Inc.
4.6","Ann Arbor, MI",51 to 200 Employees,1986,Company - Private,Architectural & Engineering Services,Business Services,$25 to $50 million (USD)
Data Engineer,$75K - $89K (Glassdoor est.),4.3,"OneMagnify
4.3","Dearborn, MI",201 to 500 Employees,1967,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Data Analyst,$44K - $91K (Glassdoor est.),-1,radgov,"Auburn Hills, MI",-1,-1,-1,-1,-1,-1
Data Analyst,$50K - $96K (Glassdoor est.),2.0,"SSDC Services
2.0","Farmington Hills, MI",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Machine Learning Engineer,-1,3.7,"May Mobility
3.7",Michigan,51 to 200 Employees,2017,Company - Private,Transportation Management,Transportation & Logistics,Unknown / Non-Applicable
Senior Research Scientist-Cellular and Molecular Biology,$60K - $119K (Glassdoor est.),3.5,"Charles River Laboratories
3.5","Mattawan, MI",10000+ Employees,1947,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Data Scientist/Data Engineer - Connected Vehicle,-1,3.6,"Stefanini, Inc
3.6",Michigan,10000+ Employees,1987,Subsidiary or Business Segment,IT Services,Information Technology,$1 to $2 billion (USD)
